id,name,price,selling_price,brand_name,discount_rate,current_seller,short_url,image
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,273000,528000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p83412126.html?spid=83412141,https://salt.tikicdn.com/cache/280x280/ts/product/5e/92/e1/83fd6143e276053838b1950aed82b497.jpg
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),351000,677000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p73124602.html?spid=1734499,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/66/3d/43/a79f866f7ed71bcf4799085f9ffe6995.jpg
99868980,Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 540ml,245000,473000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p99868980.html?spid=99868984,https://salt.tikicdn.com/cache/280x280/ts/product/5c/7f/f5/696622a3d7d95943cd916beb9118b516.jpg
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml),371000,715000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p11488920.html?spid=11488922,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/c8/0d/7a/9cae9c00726cfa374711cc1aff1bc0dc.jpg
53583472,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa)",845000,1667000,LocknLock,49,Tiki Trading,https://tiki.vn/product-p53583472.html?spid=53583474,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/14/17/ab/8133bc7e95d77dcc6d17f560304da462.jpg
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),351000,677000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p73124602.html?spid=1734499,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/66/3d/43/a79f866f7ed71bcf4799085f9ffe6995.jpg
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml),371000,715000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p11488920.html?spid=11488922,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/c8/0d/7a/9cae9c00726cfa374711cc1aff1bc0dc.jpg
252862664,"Ly Giữ Nhiệt Inox SUS 304 5 Lớp, Cốc Giữ Nhiệt Bán Chạy Có Ống Hút Cao Cấp Bảo Hành 90 Ngày",159000,180000,OEM,12,Office Chill,https://tiki.vn/product-p252862664.html?spid=258128061,https://salt.tikicdn.com/cache/280x280/ts/product/b8/2e/21/9013f688944f0ca734befa1cfb919d98.jpg
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,273000,528000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p83412126.html?spid=83412141,https://salt.tikicdn.com/cache/280x280/ts/product/5e/92/e1/83fd6143e276053838b1950aed82b497.jpg
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,355000,412000,Sunhouse,14,Tiki Trading,https://tiki.vn/product-p71890908.html?spid=145696370,https://salt.tikicdn.com/cache/280x280/ts/product/14/12/8b/0eb0574fb727ad1b0e3f403cd3df9ec9.png
