id,name,price,selling_price,brand_name,discount_rate,current_seller,short_url,image
91612670,Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng,3250000,5990000,OPPO,46,Tiki Trading,https://tiki.vn/product-p91612670.html?spid=91612672,https://salt.tikicdn.com/cache/280x280/ts/product/82/62/2f/c784993f83afdf5b7ef8ef858c62f9a5.jpg
189658085,Điện Thoại Oppo A57 (4GB/64GB) - Hàng Chính Hãng,3550000,4490000,OPPO,21,Tiki Trading,https://tiki.vn/product-p189658085.html?spid=189658087,https://salt.tikicdn.com/cache/280x280/ts/product/a6/de/4e/e96e2035f72c97c218ba9917f4e6d5ca.jpg
142545270,Điện Thoại Oppo A16k (3GB/32GB) - Hàng Chính Hãng,2399000,3190000,OPPO,25,Tiki Trading,https://tiki.vn/product-p142545270.html?spid=171350275,https://salt.tikicdn.com/cache/280x280/ts/product/b8/6b/9d/63552f040aed8d9213071b177f91c07b.jpg
183330021,"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",7090000,10990000,Apple,35,Tiki Trading,https://tiki.vn/product-p183330021.html?spid=124939769,https://salt.tikicdn.com/cache/280x280/ts/product/54/ff/25/bfdf0febe11a28eaa7cd3fa735a82c49.png
197216291,Apple iPhone 14 Pro Max,27450000,33990000,Apple,19,Tiki Trading,https://tiki.vn/product-p197216291.html?spid=197216302,https://salt.tikicdn.com/cache/280x280/ts/product/ff/56/67/959c1f0452a2fe7e4f3453a9d77bb809.png
184253251,"Apple iPad Air (5th Gen) Wi-Fi, 2022 ",13490000,18990000,Apple,29,Tiki Trading,https://tiki.vn/product-p184253251.html?spid=168721263,https://salt.tikicdn.com/cache/280x280/ts/product/c7/8d/fe/8a34e1ae07d89373b7db963df3d1dd8b.jpg
214756058,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,2750000,3190000,Kindle,14,Tiki Trading,https://tiki.vn/product-p214756058.html?spid=214756062,https://salt.tikicdn.com/cache/280x280/ts/product/d6/6e/65/c0d46a4a2b4718d7a31be9e117f54eb0.png
184036446,Apple iPhone 11,10650000,12990000,Apple,18,Tiki Trading,https://tiki.vn/product-p184036446.html?spid=32033721,https://salt.tikicdn.com/cache/280x280/ts/product/a1/cd/ce/84a16c41ac07ce50d754e44a16ecbd1c.jpg
184059211,Apple iPhone 13,16490000,25990000,Apple,37,Tiki Trading,https://tiki.vn/product-p184059211.html?spid=123547403,https://salt.tikicdn.com/cache/280x280/ts/product/dd/2b/a6/fefd132c5ba9b5629c0119f57549e5d4.png
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3950000,4590000,Kindle,14,Techmorevn,https://tiki.vn/product-p125182567.html?spid=217275932,https://salt.tikicdn.com/cache/280x280/ts/product/43/dd/97/75d04cd242f6d891fd867fa7a599c70d.jpg
135322157,Điện Thoại Nokia C20 2GB/32GB - Hàng Chính Hãng,1490000,2490000,Nokia,40,Tiki Trading,https://tiki.vn/product-p135322157.html?spid=176059930,https://salt.tikicdn.com/cache/280x280/ts/product/71/2d/16/387aa7765feae2ccde9fecf185e68efb.png
205815593,"Apple iPad Pro 11-inch M2 Wi-Fi, 2022",20490000,23990000,Apple,15,Tiki Trading,https://tiki.vn/product-p205815593.html?spid=205815597,https://salt.tikicdn.com/cache/280x280/ts/product/c2/7e/ba/44fe328c9a95e8bbc9cb84caaf3a25cb.png
