id,name,price,selling_price,brand_name,discount_rate,current_seller,quantity_sold,short_url,image
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),351000,677000,LocknLock,48,Tiki Trading,36543,https://tiki.vn/product-p73124602.html?spid=1734499,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/66/3d/43/a79f866f7ed71bcf4799085f9ffe6995.jpg
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml),371000,715000,LocknLock,48,Tiki Trading,37722,https://tiki.vn/product-p11488920.html?spid=11488922,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/c8/0d/7a/9cae9c00726cfa374711cc1aff1bc0dc.jpg
252862664,"Ly Giữ Nhiệt Inox SUS 304 5 Lớp, Cốc Giữ Nhiệt Bán Chạy Có Ống Hút Cao Cấp Bảo Hành 90 Ngày",159000,180000,OEM,12,Office Chill,73,https://tiki.vn/product-p252862664.html?spid=258128061,https://salt.tikicdn.com/cache/280x280/ts/product/b8/2e/21/9013f688944f0ca734befa1cfb919d98.jpg
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,273000,528000,LocknLock,48,Tiki Trading,16165,https://tiki.vn/product-p83412126.html?spid=83412141,https://salt.tikicdn.com/cache/280x280/ts/product/5e/92/e1/83fd6143e276053838b1950aed82b497.jpg
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,355000,412000,Sunhouse,14,Tiki Trading,2214,https://tiki.vn/product-p71890908.html?spid=145696370,https://salt.tikicdn.com/cache/280x280/ts/product/14/12/8b/0eb0574fb727ad1b0e3f403cd3df9ec9.png
172940012,"Bộ Dao Nhà Bếp Nhật 6 Món Cao Cấp - Chính hãng DODODIOS, dao nhà bếp Nhật Bản - Logo trên thân dao ngẫu nhiên",199000,199000,dododios,0,DoDoDios Official Store,602,https://tiki.vn/product-p172940012.html?spid=172940013,https://salt.tikicdn.com/cache/280x280/ts/product/9f/81/11/8449e5b8e538cb6572968a78333e3ec9.png
53789448,"Bộ cây lau nhà tự vắt thông minh, chổi lau nhà 360 độ, lau sạch khô nhanh - Parroti Pro PR01",799000,799000,Parroti,0,Parroti Store,13697,https://tiki.vn/product-p53789448.html?spid=53789449,https://salt.tikicdn.com/cache/280x280/ts/product/81/75/b7/efd2f192041e39a927ceae9bae20f411.jpg
99868980,Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 540ml,245000,473000,LocknLock,48,Tiki Trading,11238,https://tiki.vn/product-p99868980.html?spid=99868984,https://salt.tikicdn.com/cache/280x280/ts/product/5c/7f/f5/696622a3d7d95943cd916beb9118b516.jpg
3480627,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,457000,924000,LocknLock,51,Tiki Trading,7140,https://tiki.vn/product-p3480627.html?spid=3598845,https://salt.tikicdn.com/cache/280x280/ts/product/45/23/7a/155a681f642637eae6b2e5cf917684d4.jpg
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,371000,715000,LocknLock,48,Tiki Trading,1424,https://tiki.vn/product-p201040328.html?spid=201040334,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/36/a7/3f/da54931887d612e7c2ff8dcaf1587a15.jpg
48045630,5 Viên Pin Smartkey - Cmos Panasonic CR2032 - Hàng Chính Hãng,80000,100000,Panasonic,20,Thegioipin88,3322,https://tiki.vn/product-p48045630.html?spid=48045631,https://salt.tikicdn.com/cache/280x280/ts/product/5a/56/f5/e3b92510e087e3a288facd63b36dfded.png
